415	11	\N	deprecated
415	12	\N	
416	11	\N	deprecated
416	12	\N	
417	11	\N	deprecated
417	12	\N	
418	11	\N	deprecated
418	12	\N	
419	11	\N	deprecated
419	12	\N	
420	11	\N	deprecated
420	12	\N	
421	11	\N	deprecated
421	12	\N	
422	11	\N	deprecated
422	12	\N	
423	11	\N	deprecated
423	12	\N	
424	11	\N	deprecated
424	12	\N	
425	11	\N	deprecated
425	12	\N	
426	11	\N	deprecated
426	12	\N	
427	11	\N	deprecated
427	12	\N	
428	11	\N	deprecated
428	12	\N	
429	11	\N	deprecated
429	12	\N	
430	11	\N	deprecated
430	12	\N	
431	11	\N	deprecated
431	12	\N	
432	11	\N	deprecated
432	12	\N	
433	11	\N	deprecated
433	12	\N	
434	11	\N	deprecated
434	12	\N	
435	11	\N	deprecated
435	12	\N	
436	11	\N	deprecated
436	12	\N	
437	11	\N	deprecated
437	12	\N	
438	11	\N	deprecated
438	12	\N	
439	11	\N	deprecated
439	12	\N	
440	11	\N	deprecated
440	12	\N	
441	11	\N	deprecated
441	12	\N	
442	11	\N	deprecated
442	12	\N	
443	11	\N	deprecated
443	12	\N	
444	11	\N	deprecated
444	12	\N	
445	11	\N	deprecated
445	12	\N	
446	11	\N	deprecated
446	12	\N	
447	11	\N	deprecated
447	12	\N	
448	11	\N	deprecated
448	12	\N	
449	11	\N	deprecated
449	12	\N	
450	11	\N	deprecated
450	12	\N	
451	11	\N	deprecated
451	12	\N	
452	11	\N	deprecated
452	12	\N	
453	11	\N	deprecated
453	12	\N	
454	11	\N	deprecated
454	12	\N	
455	11	\N	deprecated
455	12	\N	
456	11	\N	deprecated
456	12	\N	
457	11	\N	deprecated
457	12	\N	
458	11	\N	deprecated
458	12	\N	
459	11	\N	deprecated
459	12	\N	
460	11	\N	deprecated
460	12	\N	
461	11	\N	deprecated
461	12	\N	
462	11	\N	deprecated
462	12	\N	
463	11	\N	deprecated
463	12	\N	
464	11	\N	deprecated
464	12	\N	
465	11	\N	deprecated
465	12	\N	
466	11	\N	deprecated
466	12	\N	
467	11	\N	deprecated
467	12	\N	
468	11	\N	deprecated
468	12	\N	
469	11	\N	deprecated
469	12	\N	
470	11	\N	deprecated
470	12	\N	
471	11	\N	deprecated
471	12	\N	
472	11	\N	deprecated
472	12	\N	
473	11	\N	deprecated
473	12	\N	
474	11	\N	deprecated
474	12	\N	
475	11	\N	deprecated
475	12	\N	
476	11	\N	deprecated
476	12	\N	
477	11	\N	deprecated
477	12	\N	
478	11	\N	deprecated
478	12	\N	
479	11	\N	deprecated
479	12	\N	
480	11	\N	deprecated
480	12	\N	
